,Year,Rank,O_Rank,Institution ,Academic Reputation,AR Rank,Employer Reputation,ER Rank,Faculty Student,FS Rank,Citations per Faculty,CF Rank,International Faculty,IF Rank,International Students,IS Rank,Overall Score
0,2011.0,1.0,1.0,University of Cambridge,100.0,1.0,100.0,3.0,100.0,18.0,93.0,36.0,96.0,38.0,95.0,39.0,100.0
1,2011.0,2.0,2.0,Harvard University,100.0,2.0,100.0,1.0,97.0,40.0,100.0,3.0,71.0,125.0,87.0,70.0,99.2
2,2011.0,3.0,3.0,Yale University,100.0,10.0,100.0,10.0,100.0,7.0,98.0,22.0,78.0,109.0,66.0,149.0,98.7
3,2011.0,4.0,4.0,UCL (University College London),99.0,23.0,93.0,34.0,99.0,24.0,91.0,41.0,94.0,45.0,99.0,18.0,98.5
4,2011.0,5.0,5.0,Massachusetts Institute of Technology (MIT),100.0,6.0,100.0,4.0,100.0,21.0,100.0,9.0,31.0,265.0,98.0,24.0,98.2
5,2011.0,6.0,6.0,University of Oxford,100.0,3.0,100.0,2.0,100.0,12.0,84.0,52.0,96.0,40.0,95.0,38.0,98.2
6,2011.0,7.0,7.0,Imperial College London,100.0,16.0,100.0,8.0,100.0,17.0,81.0,68.0,99.0,29.0,100.0,11.0,97.8
7,2011.0,8.0,8.0,University of Chicago,100.0,13.0,96.0,25.0,98.0,32.0,93.0,34.0,68.0,135.0,89.0,64.0,97.5
8,2011.0,9.0,9.0,California Institute of Technology (Caltech),99.0,26.0,71.0,96.0,93.0,49.0,100.0,1.0,99.0,22.0,85.0,78.0,96.5
9,2011.0,10.0,10.0,Princeton University,100.0,9.0,88.0,45.0,82.0,83.0,100.0,4.0,96.0,38.0,82.0,94.0,96.0
10,2011.0,11.0,11.0,Columbia University,100.0,14.0,100.0,12.0,98.0,37.0,97.0,25.0,17.0,301.0,91.0,56.0,96.0
11,2011.0,12.0,12.0,University of Pennsylvania,98.0,31.0,98.0,18.0,99.0,26.0,96.0,28.0,60.0,163.0,64.0,153.0,96.0
12,2011.0,13.0,13.0,Stanford University,100.0,5.0,100.0,6.0,80.0,91.0,100.0,2.0,19.0,301.0,99.0,17.0,93.6
13,2011.0,14.0,14.0,Duke University,95.0,38.0,93.0,33.0,100.0,15.0,97.0,24.0,17.0,301.0,57.0,187.0,92.3
14,2011.0,15.0,15.0,University of Michigan,100.0,21.0,99.0,16.0,92.0,51.0,87.0,48.0,52.0,184.0,50.0,222.0,92.2
15,2011.0,16.0,16.0,Cornell University,100.0,15.0,95.0,28.0,76.0,102.0,98.0,23.0,26.0,292.0,67.0,142.0,90.4
16,2011.0,17.0,17.0,Johns Hopkins University,96.0,36.0,65.0,129.0,98.0,35.0,100.0,8.0,17.0,301.0,55.0,195.0,89.7
17,2011.0,18.0,18.0,ETH Zurich (Swiss Federal Institute of Technology),99.0,27.0,89.0,44.0,47.0,249.0,99.0,13.0,100.0,13.0,98.0,22.0,89.3
18,2011.0,19.0,19.0,McGill University,99.0,25.0,98.0,19.0,87.0,70.0,63.0,126.0,66.0,149.0,95.0,44.0,89.3
19,2011.0,20.0,20.0,Australian National University (ANU),100.0,18.0,80.0,64.0,75.0,106.0,72.0,89.0,99.0,26.0,95.0,41.0,88.6
20,2011.0,21.0,21.0,King's College London (KCL),92.0,49.0,88.0,49.0,90.0,56.0,70.0,96.0,92.0,56.0,89.0,61.0,88.5
21,2011.0,22.0,22.0,University of Edinburgh,99.0,28.0,96.0,26.0,78.0,97.0,65.0,118.0,83.0,88.0,87.0,68.0,88.0
22,2011.0,23.0,23.0,University of Hong Kong (HKU),96.0,34.0,74.0,85.0,94.0,48.0,55.0,156.0,100.0,15.0,98.0,28.0,87.3
23,2011.0,24.0,24.0,The University of Tokyo,100.0,8.0,97.0,2.0,89.0,61.0,75.0,80.0,12.0,301.0,39.0,278.0,86.7
24,2011.0,25.0,25.0,Kyoto University,100.0,20.0,88.0,45.0,96.0,41.0,72.0,86.0,14.0,301.0,24.0,301.0,85.9
25,2011.0,26.0,26.0,Northwestern University,90.0,55.0,91.0,36.0,86.0,74.0,82.0,65.0,12.0,301.0,92.0,54.0,85.4
26,2011.0,27.0,27.0,University of Bristol,90.0,53.0,99.0,15.0,79.0,96.0,71.0,94.0,84.0,84.0,71.0,126.0,85.2
27,2011.0,28.0,28.0,"University of California, Berkeley (UCB)",100.0,4.0,100.0,7.0,38.0,301.0,97.0,27.0,92.0,55.0,40.0,266.0,85.2
28,2011.0,29.0,29.0,University of Toronto,100.0,11.0,94.0,31.0,57.0,183.0,79.0,70.0,79.0,105.0,46.0,238.0,84.3
29,2011.0,30.0,30.0,The University of Manchester,98.0,32.0,100.0,11.0,66.5,141.0,55.0,158.0,85.0,77.0,90.0,58.0,83.3
30,2011.0,31.0,31.0,National University of Singapore (NUS),100.0,12.0,97.0,23.0,64.0,150.0,44.0,224.0,100.0,7.0,100.0,13.0,82.8
31,2011.0,32.0,32.0,Ecole Polytechnique Fédérale de Lausanne (EPFL),74.0,95.0,71.0,98.0,98.0,35.0,71.0,90.0,100.0,3.0,100.0,7.0,82.3
32,2011.0,33.0,33.0,"Ecole Normale Supérieure, Paris (ENS Paris)",95.0,39.0,72.0,93.0,97.0,39.0,51.0,182.0,35.0,241.0,75.0,115.0,82.1
33,2011.0,34.0,34.0,Carnegie Mellon University,89.0,57.0,83.0,55.0,73.0,111.0,76.0,77.0,37.0,232.0,96.0,35.0,81.8
34,2011.0,35.0,35.0,"University of California, Los Angeles (UCLA)",100.0,7.0,98.0,17.0,43.0,278.0,100.0,5.0,4.0,301.0,27.0,301.0,81.5
35,2011.0,36.0,36.0,Ecole Polytechnique,75.0,92.0,98.0,20.0,100.0,9.0,58.0,142.0,70.0,128.0,95.0,42.0,81.3
36,2011.0,37.0,37.0,The University of Sydney,99.0,24.0,93.0,32.0,54.0,199.0,51.0,184.0,99.0,25.0,94.0,46.0,81.3
37,2011.0,38.0,38.0,The University of Melbourne,100.0,19.0,100.0,9.0,40.0,300.0,63.0,129.0,78.0,109.0,95.0,39.0,80.6
38,2011.0,39.0,39.0,Brown University,87.0,61.0,71.0,101.0,60.0,167.0,99.0,18.0,58.0,168.0,53.0,205.0,80.5
39,2011.0,40.0,40.0,The Hong Kong University Of Science And Technology (HKUST),86.0,64.0,71.0,99.0,82.0,85.0,48.0,204.0,100.0,5.0,98.0,26.0,78.7
40,2011.0,41.0,41.0,New York University (NYU),94.0,45.0,90.0,40.0,91.0,55.0,44.0,227.0,22.0,301.0,51.0,212.0,78.4
41,2011.0,42.0,42.0,The Chinese University of Hong Kong (CUHK),88.0,58.0,64.0,133.0,74.0,110.0,55.0,161.0,97.0,37.0,86.0,76.0,77.9
42,2011.0,43.0,43.0,The University of Queensland (UQ),90.0,54.0,85.0,51.0,43.0,274.0,69.0,101.0,98.0,32.0,84.0,83.0,77.6
43,2011.0,44.0,44.0,University of British Columbia,100.0,17.0,79.0,68.0,38.0,301.0,82.0,57.0,24.0,301.0,57.0,187.0,77.4
44,2011.0,45.0,45.0,University of Copenhagen,87.0,60.0,66.0,126.0,100.0,14.0,44.0,225.0,57.0,175.0,45.0,240.0,76.7
45,2011.0,46.0,46.0,The University of New South Wales (UNSW),95.0,40.0,91.0,35.0,40.0,300.0,57.0,147.0,81.0,95.0,93.0,50.0,76.7
46,2011.0,47.0,47.0,Peking University,100.0,22.0,90.0,38.0,95.0,44.0,23.0,301.0,18.0,301.0,34.0,299.0,76.4
47,2011.0,48.0,48.0,University of Wisconsin-Madison,94.0,42.0,63.0,140.0,70.0,119.0,69.0,101.0,27.0,286.0,34.0,301.0,76.3
48,2011.0,49.0,49.0,Osaka University,84.0,68.0,69.0,109.0,90.0,56.0,72.0,88.0,13.0,301.0,25.0,301.0,76.2
49,2011.0,50.0,50.0,Seoul National University (SNU),96.0,33.0,62.0,142.0,90.0,58.0,43.0,233.0,28.0,281.0,38.0,281.0,76.1
50,2011.0,51.0,51.0,Ruprecht-Karls-Universität Heidelberg,93.0,48.0,38.0,276.0,82.0,85.0,55.0,162.0,49.0,186.0,74.0,119.0,75.9
